City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,tura,25.5198,90.2201,291.89,89,0,1.53,IN,1699627624
108,al jawf,29.5,38.75,299.46,27,2,3.36,SA,1699627625
109,tambura,5.6,27.4667,299.25,81,88,1.65,SS,1699627625
110,mamuju,-2.6748,118.8885,299.53,86,97,1.66,ID,1699627625
111,el nido,11.1858,119.3956,301.54,77,92,4.02,PH,1699627626
112,laguna,38.421,-121.4238,284.31,86,75,0.0,US,1699627626
113,gubkinskiy,64.434,76.5026,267.77,93,90,5.01,RU,1699627627
114,cheremukhovo,60.3484,59.9851,274.8,91,100,1.34,RU,1699627627
115,revda,56.801,59.9303,276.86,95,100,3.91,RU,1699627628
116,bethel,41.3712,-73.414,283.35,59,75,3.09,US,1699627628
117,petropavlovsk-kamchatsky,53.0452,158.6483,272.29,98,75,1.79,RU,1699627448
118,new norfolk,-42.7826,147.0587,287.99,96,99,1.4,AU,1699627629
119,fisterra,42.9049,-9.2629,288.57,95,100,11.39,ES,1699627629
120,ulladulla,-35.35,150.4667,288.02,96,27,3.54,AU,1699627629
121,kitee,62.1,30.15,276.04,97,100,3.42,FI,1699627630
122,luderitz,-26.6481,15.1594,293.37,71,37,6.23,NA,1699627631
123,santiago de cao,-7.9589,-79.2392,292.22,88,75,4.12,PE,1699627631
124,moree,-29.4667,149.85,292.64,69,0,5.57,AU,1699627632
125,kyren,51.6828,102.1408,259.79,84,4,0.89,RU,1699627632
126,coracora,-15.0333,-73.7833,290.72,47,46,2.57,PE,1699627632
127,tazovsky,67.4667,78.7,271.36,89,100,7.53,RU,1699627550
128,whitby,54.4877,-0.615,282.59,81,96,3.13,GB,1699627525
129,dudinka,69.4058,86.1778,265.75,93,100,12.07,RU,1699627634
130,beledweyne,4.7358,45.2036,299.83,75,100,8.14,SO,1699627634
131,parabel',58.6978,81.4825,268.1,86,100,4.02,RU,1699627634
132,greenville,35.6127,-77.3663,290.16,71,100,4.63,US,1699627635
133,las tablas,7.7667,-80.2833,301.52,76,98,2.09,PA,1699627635
134,isola di capo rizzuto,38.96,17.0933,291.56,72,40,8.23,IT,1699627636
135,stanley,54.868,-1.6985,281.92,76,20,3.09,GB,1699627395
136,papao,-17.75,-149.55,296.97,79,99,2.0,PF,1699627636
137,incline village,39.2513,-119.973,277.71,54,75,0.0,US,1699627637
138,kavaratti,10.5669,72.642,301.96,73,75,4.5,IN,1699627637
139,napanee,44.2501,-76.9494,282.54,63,100,5.4,CA,1699627638
140,port alfred,-33.5906,26.891,296.58,80,0,2.24,ZA,1699627638
141,muisne,0.6,-80.0333,298.94,81,100,4.9,EC,1699627639
142,port lincoln,-34.7333,135.8667,287.48,77,51,7.81,AU,1699627639
143,hithadhoo,-0.6,73.0833,300.55,83,62,5.51,MV,1699627639
144,soroti,1.7146,33.6111,297.11,69,96,0.84,UG,1699627640
145,brokopondo,4.75,-55.1667,303.73,55,56,1.13,SR,1699627640
146,novyy urengoy,66.0833,76.6333,266.87,93,33,4.57,RU,1699627641
147,tadine,-21.55,167.8833,294.04,67,32,6.31,NC,1699627641
148,porto novo,6.4965,2.6036,305.05,65,80,4.49,BJ,1699627641
149,crane,31.3974,-102.3501,281.72,59,100,5.07,US,1699627642
150,sao martinho,39.5144,-9.1311,292.75,82,87,3.58,PT,1699627642
151,vadso,70.0744,29.7487,273.24,86,75,9.77,NO,1699627643
152,atlantic beach,30.3344,-81.3987,299.28,86,20,2.06,US,1699627643
153,roma,43.2128,-75.4557,282.01,57,0,3.6,US,1699627643
154,okhotsk,59.3833,143.3,254.67,83,16,7.65,RU,1699627644
155,bouar,5.934,15.596,296.07,83,98,0.38,CF,1699627644
156,el calafate,-50.3408,-72.2768,284.34,54,43,1.96,AR,1699627348
157,malinyi,-8.9333,36.1333,305.14,35,96,1.87,TZ,1699627645
158,mil'kovo,55.6078,37.7956,280.01,83,50,3.05,RU,1699627645
159,mahibadhoo,3.7833,72.9667,301.45,75,86,3.33,MV,1699627646
160,manokwari,-0.8667,134.0833,299.29,85,99,3.04,ID,1699627646
161,puerto ayora,-0.7393,-90.3518,300.13,87,93,4.47,EC,1699627647
162,narrabri,-30.3167,149.7833,291.22,80,0,1.49,AU,1699627647
163,arteche,12.2645,125.4048,299.24,88,17,0.88,PH,1699627647
164,dubbo,-32.25,148.6167,293.22,68,3,5.14,AU,1699627648
165,borogontsy,62.6683,131.1683,240.11,100,11,1.07,RU,1699627648
166,tralee,52.2704,-9.7026,285.29,71,75,5.14,IE,1699627649
167,invercargill,-46.4,168.35,278.72,92,0,0.89,NZ,1699627649
